weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_GeM_agg_0.00_sparsity_0.423_R1_0.901.ckpt,ResNet34_GeM,0.423,,7510196224.0,85.20239639282227,231.29847049713132,25.81013441085815,,,,,,9.055447578430176,312.6747965812683,34.8711371421814,,,,,,1.169276237487793,232.4677467346191,26.979410648345947
ResNet34_GeM_agg_0.25_sparsity_0.036_R1_0.917.ckpt,ResNet34_GeM,0.036,,7510196224.0,85.20239639282227,331.5666437149048,44.15483474731445,,,,,,8.822178840637207,387.0956301689148,53.61849069595337,,,,,,1.2620925903320312,332.8287363052368,45.41692733764648
ResNet34_GeM_agg_0.25_sparsity_0.069_R1_0.918.ckpt,ResNet34_GeM,0.069,,7510196224.0,85.20239639282227,323.37865829467773,44.686245918273926,,,,,,8.607292175292969,384.1529607772827,52.74239778518677,,,,,,1.2435436248779297,324.62220191955566,45.929789543151855
ResNet34_GeM_agg_0.25_sparsity_0.103_R1_0.914.ckpt,ResNet34_GeM,0.103,,7510196224.0,85.20239639282227,315.7702207565308,44.44470405578613,,,,,,8.455729484558105,363.3081316947937,53.426218032836914,,,,,,1.1914730072021484,316.9616937637329,45.63617706298828
ResNet34_GeM_agg_0.25_sparsity_0.134_R1_0.917.ckpt,ResNet34_GeM,0.134,,7510196224.0,85.20239639282227,307.5510263442993,42.214417457580566,,,,,,8.276534080505371,382.2872757911682,50.86812973022461,,,,,,0.8713960647583008,308.4224224090576,43.08581352233887
ResNet34_GeM_agg_0.25_sparsity_0.168_R1_0.914.ckpt,ResNet34_GeM,0.168,,7510196224.0,85.20239639282227,297.63585329055786,39.14010524749756,,,,,,8.10236930847168,378.3295154571533,47.28116989135742,,,,,,1.1124849319458008,298.74833822250366,40.25259017944336
ResNet34_GeM_agg_0.25_sparsity_0.195_R1_0.912.ckpt,ResNet34_GeM,0.195,,7510196224.0,85.20239639282227,294.2100405693054,38.09803724288941,,,,,,7.946801185607911,376.7784118652344,45.79792022705078,,,,,,1.1373281478881836,295.3473687171936,39.23536539077759
ResNet34_GeM_agg_0.25_sparsity_0.225_R1_0.916.ckpt,ResNet34_GeM,0.225,,7510196224.0,85.20239639282227,285.8517289161682,37.76516914367676,,,,,,7.833290100097655,373.0536937713623,45.12377977371216,,,,,,1.0932683944702148,286.9449973106384,38.85843753814697
ResNet34_GeM_agg_0.25_sparsity_0.256_R1_0.913.ckpt,ResNet34_GeM,0.256,,7510196224.0,85.20239639282227,275.3185272216797,33.39759111404419,,,,,,7.75904655456543,353.657591342926,41.17640256881714,,,,,,1.068830490112305,276.387357711792,34.466421604156494
ResNet34_GeM_agg_0.25_sparsity_0.284_R1_0.910.ckpt,ResNet34_GeM,0.284,,7510196224.0,85.20239639282227,269.06588077545166,33.13363790512085,,,,,,7.513570785522461,359.99701023101807,40.69708585739136,,,,,,1.0043859481811523,270.0702667236328,34.138023853302
